"sec_idx","security","volatility","volatility_state","symbol","last_price","mu","sigma"
170,"ETN US Equity",0,0,"ETN",78.73,0.0953404309626436,0.0802408485552704
171,"EXAS US Equity",0,0,"EXAS",87.8137,0.0579566824933289,0.103709530125831
172,"EXC US Equity",0,0,"EXC",48.055,0.0431566947366629,0.0383923723921291
173,"EXEL US Equity",0,0,"EXEL",22.07,0.271276569478238,0.28369486346909
174,"EXP US Equity",0,0,"EXP",76.15,0.115022330594207,0.155379566991073
175,"EXPE US Equity",0,0,"EXPE",127.09,0.2453916900891,0.105119836354448
176,"F US Equity",0,0,"F",8.52,0.0437718266627732,0.217397095846044
177,"FANG US Equity",0,0,"FANG",105.69,0.37671520841734,0.22443053060256
178,"FB US Equity",0,0,"FB",162.47,0.174734130214232,0.17036527538666
179,"FCAU US Equity",0,0,"FCAU",14.75,0.112621234003669,0.296395177034762
180,"FCX US Equity",0,0,"FCX",12.3,0.117248173137747,0.134731215755421
181,"FDC US Equity",0,0,"FDC",25.75,0.0657671214021051,0.125519456580277
182,"FDX US Equity",0,0,"FDX",179.5,0.193448978215055,0.261208855659785
183,"FEYE US Equity",0,0,"FEYE",17.26,0.211375217618188,0.146364446847852
184,"FGEN US Equity",0,0,"FGEN",58.5,0.257474067621938,0.207318704940673
185,"FIT US Equity",0,0,"FIT",6.45,0.228680745104508,0.270924407745758
186,"FLR US Equity",0,0,"FLR",36.31,0.264675053662713,0.191754049411377
187,"FNV US Equity",0,0,"FNV",76.4,0.109480667556369,0.0923863991205607
188,"FOSL US Equity",0,0,"FOSL",14.83,-0.137602426304306,0.543799626242364
189,"FOXA US Equity",0,0,"FOXA",50.43,0.000533256218984745,0.0352286898920943
190,"FSLR US Equity",0,0,"FSLR",49.02,0.196068655137567,0.187674813545027
191,"FTR US Equity",0,0,"FTR",2.67,0.401065732868604,1.15509179837977
192,"GDDY US Equity",0,0,"GDDY",72.86,0.159393491372647,0.0578253434041278
193,"GE US Equity",0,0,"GE",10.1,0.0429463793116721,0.379181489442875
194,"GG US Equity",0,0,"GG",10.7,0.19131896624748,0.263983148935172
195,"GILD US Equity",0,0,"GILD",67.6,0.188195087220069,0.101902050774428
196,"GIS US Equity",0,0,"GIS",44.5,0.00837620330008552,0.118737868766153
197,"GLNG US Equity",0,0,"GLNG",22.57,0.548876248561835,0.260303765797825
198,"GLW US Equity",0,0,"GLW",34.51,0.0679380477167366,0.12441052904799
199,"GM US Equity",0,0,"GM",39,0.11987310593338,0.170744679885392
200,"GME US Equity",0,0,"GME",11.49,-0.00813904226382136,0.190516881256154
201,"GNW US Equity",0,0,"GNW",4.55,0.110018319674187,0.551452592903079
202,"GOGO US Equity",0,0,"GOGO",3.76,-0.202618959624195,0.619579577885406
203,"GOLD US Equity",0,0,"GOLD",12.92,0.133038148331694,0.159538670620859
204,"GOOG US Equity",0,0,"GOOG",1113.7,0.172181235675612,0.0994925989876248
205,"GOOGL US Equity",0,0,"GOOGL",1121.39,0.171286774578719,0.109179008231431
206,"GOOS US Equity",0,0,"GOOS",50.08,0.261643180904463,0.288370324191184
207,"GPOR US Equity",0,0,"GPOR",8.04,0.272597389403534,0.325374248409241
208,"GPRO US Equity",0,0,"GPRO",5.92,-0.0308349381107571,0.317841691534799
209,"GRMN US Equity",0,0,"GRMN",71.62,-0.0659067257506445,0.0918258124845871
210,"GRPN US Equity",0,0,"GRPN",3.5,0.104306739877796,0.205026548451718
211,"GRUB US Equity",0,0,"GRUB",82.5,0.161343499496689,0.285061839435979
212,"GS US Equity",0,0,"GS",198.65,0.150287653441764,0.137950390166605
213,"GSK US Equity",0,0,"GSK",41.11,0.134363753624801,0.0212497064427453
214,"GT US Equity",0,0,"GT",18.85,0.00154894809307059,0.225391997904251
215,"HAL US Equity",0,0,"HAL",31.89,0.156337931958564,0.143538614781958
216,"HAS US Equity",0,0,"HAS",86.8,0.133395222835474,0.141061014596378
217,"HBI US Equity",0,0,"HBI",18.8,0.0971376500915882,0.256500959379617
218,"HCLP US Equity",0,0,"HCLP",4.25,-0.0391522592991076,0.453912231753847
219,"HD US Equity",0,0,"HD",192.41,0.0695733807382236,0.0676964608533913
220,"HES US Equity",0,0,"HES",57.89,0.12236893866972,0.144405069896838
221,"HIIQ US Equity",0,0,"HIIQ",41.3,0.581528634637224,0.291647222391009
222,"HLF US Equity",0,0,"HLF",56.7,0.114506047365529,0.127194104708581
223,"HOLX US Equity",0,0,"HOLX",45.765,0.0559202447515661,0.0910304681021641
224,"HON US Equity",0,0,"HON",153.32,0.0671337132921434,0.0636305488900495
225,"HP US Equity",0,0,"HP",57.4,0.091157336471274,0.199487788677028
226,"HPQ US Equity",0,0,"HPQ",23.2,0.180154203030417,0.141805328703522
227,"HSBC US Equity",0,0,"HSBC",42.7923,0.220814058531578,0.941939982568183
228,"I US Equity",0,0,"I",23.3,0.560830954084833,0.627526184643021
229,"IBM US Equity",0,0,"IBM",137.8001,0.0387570061789512,0.11664151908456
230,"ICE US Equity",0,0,"ICE",75.5,0.134954466358669,0.0471820756401097
231,"ICPT US Equity",0,0,"ICPT",110,0.405477290845141,0.475509638862693
232,"IMGN US Equity",0,0,"IMGN",5.73,0.934484679717021,1.15198600614727
233,"IMMU US Equity",0,0,"IMMU",14.23,0.670667916828232,0.449491617024374
234,"INFN US Equity",0,0,"INFN",4.99,0.170204530518733,0.279729655681535
235,"ING US Equity",0,0,"ING",12.4795,0.20586520527748,1.00698221930778
236,"INTC US Equity",0,0,"INTC",51.67,0.0783679000812498,0.137088674241277
237,"IP US Equity",0,0,"IP",46.9,0.169293707334468,0.24142763669563
238,"IQ US Equity",0,0,"IQ",21.95,0.219370982587883,0.215169486884393
239,"IR US Equity",0,0,"IR",104.73,0.0771310648686979,0.0519030929024935
240,"IRBT US Equity",0,0,"IRBT",119.5,-0.0677632656383376,0.0916738103491149
241,"ISRG US Equity",0,0,"ISRG",550,0.068958011923552,0.115648038163102
242,"ITUB US Equity",0,0,"ITUB",10.11,-0.108489103784253,0.151364091349939
243,"JBL US Equity",0,0,"JBL",28.55,0.154581525218973,0.206468430622528
244,"JBLU US Equity",0,0,"JBLU",18,0.11432725547973,0.162528922360965
245,"JCP US Equity",0,0,"JCP",1.3101,0.671642122849906,1.48471608332565
246,"JD US Equity",0,0,"JD",23.98,0.134850673610791,0.323669942061494
247,"JNJ US Equity",0,0,"JNJ",136.53,0.0670084595711279,0.0831790466536343
248,"JPM US Equity",0,0,"JPM",105.56,0.0979261658232369,0.108127966869655
249,"JWN US Equity",0,0,"JWN",44.44,0.0621799739759955,0.119402204337391
250,"KBH US Equity",0,0,"KBH",22.38,-0.00372309772505775,0.183012937447242
251,"KEY US Equity",0,0,"KEY",17.5437,0.118959107923539,0.110282840214142
252,"KGC US Equity",0,0,"KGC",3.47,0.139913332521294,0.198503637756493
253,"KHC US Equity",0,0,"KHC",48,0.0992828161869488,0.195910585109342
254,"KKR US Equity",0,0,"KKR",23.89,0.247378215357777,0.10765187410112
