,FBN Securities,SHEBLY SEYRAFI,2nd,10.00095,outperform,2/1/2019
,J.P. Morgan,DOUGLAS ANMUTH,2nd,10.00095,overweight,2/1/2019
,DZ Bank AG,INGO WERMANN,2nd,10.00095,buy,2/1/2019
,Baird,COLIN SEBASTIAN,2nd,10.00095,outperform,1/31/2019
,Goldman Sachs,HEATH TERRY,2nd,10.00095,buy/attractive,1/31/2019
,RBC Capital Markets,MARK MAHANEY,2nd,10.00095,outperform,1/31/2019
,Tigress Financial Partners,IVAN FEINSETH,2nd,10.00095,buy,11/30/2018
,Aegis Capital Corp.,VICTOR ANTHONY,2nd,10.00095,buy,10/30/2018
,PERM DENIED,PERM DENIED,2nd,10.00095,buy,10/26/2018
,Argus Research Corp,JAMES KELLEHER,2nd,10.00095,buy,9/24/2018
,"Ameriprise Advisor Services, I",CURTIS TRIMBLE,2nd,10.00095,buy,4/27/2018
,Wolfe Research,SCOTT MUSHKIN,3rd,8.254672,outperform,2/7/2019
,Telsey Advisory Group,JOSEPH FELDMAN,4th,0.488079,outperform,2/14/2019
,KeyBanc Capital Markets,EDWARD YRUMA,5th,0,sector weight,1/31/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
BABA US Equity,"Morningstar, Inc",RJ HOTTOVY,1st,1.57913,buy,2/13/2019
,ISS-EVA,ANTHONY CAMPAGNA,2nd,-0.843648,sell,2/2/2019
,PERM DENIED,PERM DENIED,3rd,-10.73923,buy,2/1/2019
,Atlantic Equities LLP,JAMES CORDWELL,4th,-11.36303,overweight,2/13/2019
,Macquarie,WENDY HUANG,4th,-11.36303,outperform,2/12/2019
,Raymond James,AARON KESSLER,4th,-11.36303,strong buy,2/11/2019
,Stifel,SCOTT DEVITT,4th,-11.36303,buy,2/11/2019
,CICC,YUE WU,4th,-11.36303,buy,2/9/2019
,DBS Bank,SUSANNA CHUI,4th,-11.36303,buy,2/8/2019
,SunTrust Robinson Humphrey,YOUSSEF SQUALI,4th,-11.36303,buy,2/4/2019
,Morgan Stanley,GRACE CHEN,4th,-11.36303,Overwt/In-Line,2/1/2019
,"Everbright Securities Co., Ltd",BO QIN,4th,-11.36303,buy,2/1/2019
,Nomura,JIALONG SHI,4th,-11.36303,buy,2/1/2019
,Benchmark Company LLC,FAWNE JIANG,4th,-11.36303,buy,1/31/2019
,J.P. Morgan,ALEX YAO,4th,-11.36303,overweight,1/31/2019
,BOCOM International Holdings,CONNIE GU,4th,-11.36303,buy,1/31/2019
,MKM Partners,ROB SANDERSON,4th,-11.36303,buy,1/31/2019
,Barclays,GREGORY ZHAO,4th,-11.36303,overweight,1/31/2019
,Bank of China International,JAMIE SHEN,4th,-11.36303,buy,1/31/2019
,Haitong International,BILLY LEUNG,4th,-11.36303,buy,1/31/2019
,UOB Kay Hian,JULIA PAN,4th,-11.36303,buy,1/31/2019
,CMB International Capital Corp,SOPHIE HUANG,4th,-11.36303,buy,1/31/2019
,China Renaissance,ELLA JI,4th,-11.36303,buy,1/31/2019
,"Hua Tai Securities Co., Ltd",SAIYI HE,4th,-11.36303,buy,1/31/2019
,Susquehanna Financial,SHYAM PATIL,4th,-11.36303,Positive,1/31/2019
,CCB International Securities L,RONNIE HO,4th,-11.36303,outperform,1/31/2019
,PERM DENIED,PERM DENIED,4th,-11.36303,buy,1/31/2019
,Oppenheimer & Co,JASON HELFSTEIN,4th,-11.36303,outperform,1/31/2019
,PERM DENIED,PERM DENIED,4th,-11.36303,buy,1/30/2019
,PERM DENIED,PERM DENIED,4th,-11.36303,buy,1/30/2019
,Daiwa Securities,JOHN CHOI,4th,-11.36303,buy,1/30/2019
,Jefferies,KAREN CHAN,4th,-11.36303,buy,1/30/2019
,PERM DENIED,PERM DENIED,4th,-11.36303,buy,1/30/2019
,Baird,COLIN SEBASTIAN,4th,-11.36303,outperform,1/30/2019
,RBC Capital Markets,MARK MAHANEY,4th,-11.36303,outperform,1/30/2019
,Goldman Sachs,PIYUSH MUBAYI,4th,-11.36303,Buy/Neutral,1/30/2019
,KeyBanc Capital Markets,HANS CHUNG,4th,-11.36303,overweight,1/30/2019
,Blue Lotus Capital Advisors Lt,ERIC WEN,4th,-11.36303,buy,1/25/2019
,TH Capital LLC,TIAN HOU,4th,-11.36303,buy,1/22/2019
,ABC International,STEVE CHOW,4th,-11.36303,buy,12/11/2018
,Guotai Junan,DANNY LAW,4th,-11.36303,buy,11/12/2018
,SWS Research,QIAN HUANG,4th,-11.36303,buy,11/5/2018
,"Citic Securities Co., Ltd",YU ZHOU,4th,-11.36303,buy,5/7/2018
,Tigress Financial Partners,IVAN FEINSETH,4th,-11.36303,buy,11/30/2017
,"Ameriprise Advisor Services, I",ANDREW HEANEY,4th,-11.36303,buy,9/26/2017
,Phillip Securities,KANG-WEI HO,4th,-11.36303,buy,1/9/2017
,,,,,,
,,,,,,
,,,,,,
,,,,,,
KO US Equity,"Morningstar, Inc",SONIA VORA,1st,14.592209,hold,2/14/2019
,Barclays,LAUREN LIEBERMAN,2nd,9.692243,overweight,2/15/2019
,PERM DENIED,PERM DENIED,3rd,5.349096,neutral,2/15/2019
,Evercore ISI,ROBERT OTTENSTEIN,4th,4.540322,outperform,2/15/2019
,PERM DENIED,PERM DENIED,4th,4.540322,buy,2/15/2019
,RBC Capital Markets,NIK MODI,4th,4.540322,outperform,2/15/2019
,PERM DENIED,PERM DENIED,4th,4.540322,outperform,2/15/2019
,SunTrust Robinson Humphrey,WILLIAM CHAPPELL,4th,4.540322,buy,2/14/2019
,Wells Fargo Securities,BONNIE HERZOG,4th,4.540322,outperform,2/14/2019
,PERM DENIED,PERM DENIED,4th,4.540322,buy,2/14/2019
,HSBC,CARLOS LABOY,4th,4.540322,buy,2/12/2019
,Daiwa Securities,TAKAAKI HIRONAKA,4th,4.540322,outperform,11/1/2018
,"Ameriprise Advisor Services, I",PATRICK DIEDRICKSON,4th,4.540322,buy,4/26/2018
,Consumer Edge Research,BRETT COOPER,5th,2.287929,overweight,2/14/2019
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LLY US Equity,Barclays,GEOFFREY MEACHAM,1st,60.608661,overweight,2/14/2019
,Cowen,STEVEN SCALA,1st,60.608661,outperform,2/11/2019
,Argus Research Corp,DAVID TOUNG,1st,60.608661,buy,12/27/2018
